Noah ; Lefebvre ; 06.39.00.27.73 ;Noah.Lefebvre@free.fr ;13 rue de la colline;38000;Grenoble
Jules ; Dumont ; 05.82.41.67.81 ;Jules.Dumont@laposte.net ;25 chemin du vieux chêne;38400;Grenoble
Enzo ; Bonnet ; 02.35.52.52.01 ;Enzo.Bonnet@yahoo.fr ;79 rue de la piscine;38400;Grenoble
Adam ; Dumont ; 07.72.49.98.46 ;Adam.Dumont@laposte.net ;57 rue de la piscine;74000;Annecy
Emma ; Bertrand ; 07.00.20.14.17 ;Emma.Bertrand@grenoble-inp.org ;57 rue de la piscine;75000;Paris
Raphaël ; Lefevre ; 07.11.02.39.54 ;Raphael.Lefevre@orange.fr ;90 avenue du général De Gaulle;74000;Annecy
Paul ; Gautier ; 04.76.10.94.98 ;Paul.Gautier@free.fr ;75 rue de la colline;38400;Grenoble
Liam ; Joly ; 06.34.21.56.76 ;Liam.Joly@free.fr ;80 chemin du vieux chêne;31000;Toulouse
Ethan ; Denis ; 03.72.94.00.48 ;Ethan.Denis@laposte.net ;100 chemin du vieux chêne;13000;Marseille
Enzo ; Lefebvre ; 02.98.32.74.84 ;Enzo.Lefebvre@orange.fr ;80 chemin du vieux chêne;69000;Lyon
Camille ; Leroy ; 02.92.81.50.17 ;Camille.Leroy@hotmail.com ;82 rue de la piscine;75000;Paris
Liam ; Bernard ; 04.33.99.55.66 ;Liam.Bernard@gmail.com ; 2 rue de la colline;31000;Toulouse
Ethan ; Petit ; 08.24.77.47.47 ;Ethan.Petit@grenoble-inp.org ;49 chemin du vieux chêne;74000;Annecy
Manon ; Legrand ; 07.43.01.63.55 ;Manon.Legrand@laposte.net ;22 avenue du général De Gaulle;69000;Lyon
Noah ; Durand ; 08.41.87.29.63 ;Noah.Durand@laposte.net ;31 chemin du vieux chêne;69000;Lyon
Camille ; Dupont ; 03.22.12.83.30 ;Camille.Dupont@orange.fr ;65 avenue du général De Gaulle;69000;Lyon
